,epoch,train_loss,val_loss,train_acc,val_acc
0,1.0,1.7120275032489807,1.4382279564620584,0.3501,0.4658
1,2.0,1.1787205437565094,1.016978226269886,0.57094,0.6348
2,3.0,0.9213021354144796,0.8831836968470531,0.66974,0.6989
3,4.0,0.7743434633897699,0.8158645295793083,0.73062,0.7131
4,5.0,0.6825193160254023,0.7485944083921469,0.76228,0.7385
5,6.0,0.6100738852301522,0.6594895494591658,0.78734,0.7751
6,7.0,0.559705288513847,0.6117766639039774,0.80544,0.7871
7,8.0,0.5108515776484214,0.582523024196078,0.82288,0.8002
8,9.0,0.4763147969875494,0.5761814867235293,0.83616,0.8064
9,10.0,0.44582837760982,0.617552091171787,0.8458,0.7904
10,11.0,0.4108504706331531,0.5791263824245733,0.85764,0.8069
11,12.0,0.38013469438304376,0.5422364674556027,0.8676,0.8139
12,13.0,0.3516321760290267,0.5373992382720777,0.87594,0.8202
13,14.0,0.3366819397853616,0.5330928585901382,0.8816,0.8288
14,15.0,0.3071446192958166,0.5277526551371168,0.89106,0.8344
15,16.0,0.2920187062314709,0.5162516213526391,0.89684,0.8365
16,17.0,0.2620154808482627,0.5405125133930497,0.90802,0.8382
17,18.0,0.2456306997791428,0.5177494235289325,0.91342,0.8401
18,19.0,0.22838139952258077,0.5097748507170161,0.91984,0.8394
19,20.0,0.2170297711077706,0.5408641133148959,0.9235,0.8371
20,21.0,0.2010886189730271,0.5096268035044336,0.92874,0.8546
21,22.0,0.18655684608203904,0.5253567182144542,0.9336,0.8497
22,23.0,0.18175708457989537,0.5045032542981919,0.93568,0.8496
