,epoch,train_loss,val_loss,train_acc,val_acc
0,1.0,1.6177474984427547,1.4910503474010783,0.39894,0.476
1,2.0,1.084305623608172,0.9623699985492001,0.61088,0.6633
2,3.0,0.8784544884853656,0.8800122396201845,0.6899,0.6888
3,4.0,0.7687304279840815,0.7654334359867557,0.72842,0.7278
4,5.0,0.6942178043715485,0.7685926993181751,0.75676,0.734
5,6.0,0.644553413324039,0.7158297252882818,0.7753,0.7482
6,7.0,0.5936093293035122,0.6700436201444857,0.79092,0.766
7,8.0,0.558661079582046,0.6408530953963092,0.80334,0.7744
8,9.0,0.5177888936360778,0.6438288979089943,0.81934,0.7798
9,10.0,0.48447335322799584,0.6264848988147298,0.82838,0.7875
10,11.0,0.4583345948125395,0.6094900394321248,0.83954,0.7926
11,12.0,0.4298037360315128,0.6157775270711084,0.8486,0.7883
12,13.0,0.40646356399483086,0.5996474086479017,0.85602,0.8001
13,14.0,0.3764448585107808,0.580708430261369,0.8661,0.8084
14,15.0,0.35148409045184664,0.5866166180486132,0.87652,0.8023
15,16.0,0.33863592353623234,0.6130977311901226,0.87974,0.8071
16,17.0,0.31563318864730616,0.6372837487869202,0.88708,0.7992
17,18.0,0.29847450807804954,0.6594991907951938,0.89324,0.7954
18,19.0,0.2838813448062791,0.6182009757134566,0.8983,0.8069
19,20.0,0.26373584033049585,0.6086564474045091,0.90642,0.8082
20,21.0,0.2549442508022117,0.6952846650105373,0.90866,0.7908
21,22.0,0.23540020229109107,0.6539325206332905,0.91588,0.8096
22,23.0,0.22548688711393672,0.659581496742121,0.91814,0.808
23,24.0,0.21106125107821067,0.6857466115883202,0.92322,0.8073
24,25.0,0.20437537140363013,0.6681856067886778,0.92636,0.8037
25,26.0,0.19966497723384738,0.6850614279128944,0.92892,0.8099
26,27.0,0.18059513292482596,0.6974493958008517,0.93418,0.8079
27,28.0,0.1727667165505688,0.7289667609770587,0.93854,0.8107
28,29.0,0.17242303683572566,0.7507689743284967,0.93844,0.8052
